SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Label
7.0,0.0,30.0,53.0,51.0,663000.0,13600.0,4240.0,6600.0,3520.0,3380.0,1980.0,1930.0,1.0
6.0,1.0,0.0,0.0,2050.0,1100000.0,393000.0,5560.0,26600.0,42900.0,164000.0,171000.0,41500.0,0.0
0.0,8.0,81.0,43.0,41.0,1320000.0,208000.0,56300.0,27400.0,38800.0,58700.0,133000.0,14900.0,1.0
6.0,0.0,0.0,0.0,323.0,1110000.0,244000.0,8300.0,83900.0,100000.0,138000.0,49400.0,80300.0,1.0
9.0,4.0,43.0,47.0,109.0,1330000.0,78100.0,16500.0,41300.0,12500.0,19000.0,13500.0,2280.0,1.0
3.0,8.0,11.0,54.0,20.0,698000.0,203000.0,16000.0,5560.0,17800.0,4990.0,1700.0,1480.0,1.0
5.0,2.0,54.0,74.0,97.0,1550000.0,790000.0,167000.0,154000.0,120000.0,64800.0,26000.0,16100.0,1.0
5.0,0.0,57.0,57.0,82.0,30100.0,49600.0,3520.0,4730.0,1240.0,3730.0,2950.0,402.0,0.0
3.0,9.0,34.0,56.0,153.0,293000.0,47200.0,16400.0,8300.0,7560.0,2650.0,1110.0,1020.0,1.0
7.0,4.0,38.0,30.0,35.0,631000.0,177000.0,34000.0,8210.0,7450.0,43000.0,85700.0,45200.0,1.0
3.0,6.0,34.0,26.0,57.0,774000.0,672000.0,24200.0,50800.0,45600.0,30300.0,17900.0,5300.0,1.0
3.0,1.0,70.0,43.0,-36.0,222000.0,297000.0,17200.0,14700.0,5420.0,13400.0,3330.0,5730.0,0.0
0.0,4.0,51.0,47.0,40.0,569000.0,85700.0,5900.0,6280.0,8670.0,15500.0,10300.0,8420.0,0.0
9.0,0.0,47.0,74.0,-65.0,880000.0,72800.0,25700.0,30100.0,8750.0,29900.0,16800.0,2140.0,1.0
1.0,4.0,54.0,61.0,23.0,123000.0,50700.0,29900.0,19400.0,6990.0,10900.0,6080.0,4590.0,1.0
7.0,7.0,37.0,53.0,-43.0,333000.0,234000.0,31100.0,4500.0,12300.0,64200.0,34000.0,21500.0,1.0
5.0,9.0,40.0,83.0,-108.0,58300.0,9360.0,16000.0,2440.0,1770.0,2200.0,3540.0,118.0,0.0
1.0,2.0,53.0,63.0,53.0,352000.0,158000.0,44900.0,10300.0,10000.0,10300.0,2790.0,2720.0,1.0
4.0,9.0,38.0,41.0,41.0,12400.0,3100.0,4480.0,3180.0,3880.0,3630.0,2190.0,1220.0,0.0
9.0,9.0,30.0,34.0,-125.0,108000.0,24300.0,19800.0,12000.0,3350.0,54700.0,1930.0,840.0,0.0
9.0,6.0,26.0,63.0,96.0,1350000.0,210000.0,28200.0,42000.0,63300.0,54400.0,27200.0,6260.0,0.0
2.0,0.0,53.0,83.0,51.0,9350.0,11000.0,12000.0,5930.0,4010.0,3920.0,2850.0,1670.0,0.0
5.0,5.0,35.0,57.0,136.0,1290000.0,350000.0,97300.0,29500.0,13400.0,32300.0,12600.0,3770.0,1.0
0.0,0.0,74.0,69.0,74.0,18800.0,6580.0,11000.0,5620.0,7640.0,30800.0,13700.0,9250.0,0.0
0.0,9.0,37.0,54.0,96.0,1180000.0,244000.0,57300.0,111000.0,97600.0,32400.0,78400.0,28500.0,0.0
5.0,0.0,44.0,35.0,165.0,229000.0,110000.0,14300.0,11100.0,8820.0,17000.0,7480.0,2330.0,0.0
6.0,8.0,0.0,0.0,-2050.0,1000000.0,559000.0,6640.0,16400.0,18800.0,16700.0,14200.0,7250.0,1.0
6.0,5.0,0.0,0.0,2050.0,1730000.0,316000.0,98400.0,122000.0,102000.0,106000.0,124000.0,63400.0,0.0
0.0,5.0,47.0,74.0,4.0,1570000.0,664000.0,66900.0,49200.0,30900.0,75400.0,54300.0,27200.0,1.0
6.0,4.0,0.0,0.0,-2050.0,55500.0,29200.0,18400.0,2140.0,8570.0,94800.0,27600.0,20300.0,1.0
3.0,3.0,0.0,0.0,-67.0,789000.0,280000.0,11300.0,47400.0,30200.0,272000.0,3840.0,4070.0,0.0
1.0,2.0,44.0,50.0,59.0,276000.0,35400.0,24000.0,5360.0,5240.0,4730.0,2720.0,1500.0,1.0
